Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
Nottinghamshire,4.90398,0.59667,4.93200,3.91183,0.00100,1.44700,0.00100,194.22559,10.60824,"14,227.00000",62.72527,0.00000,1.87100,2.33700,1.37500,0.00984,0.00000
Staffordshire,9.64454,0.46711,0.80510,8.61386,0.00000,8.85667,0.00900,43.50013,8.86401,"18,825.00000",1.04110,0.00000,0.75850,0.41700,0.07400,0.01840,0.03600
Warwickshire,0.19982,0.08627,1.01800,0.13095,0.00000,0.20300,0.01600,47.52514,0.30869,"4,472.00000",5.75943,0.00000,0.00800,0.01000,0.00000,0.02096,0.02200
West Mercia,2.95897,0.21314,0.08370,0.36857,0.00500,6.48329,0.00000,59.29007,6.26993,"2,589.00000",2.86456,0.00500,0.17516,1.25700,0.98000,0.07696,0.03600
West Midlands,1.30259,0.92636,11.65503,0.60904,0.00400,2.55500,0.06100,83.51795,3.34045,"103,407.00000",0.36840,0.01400,0.34500,12.61957,0.00000,0.00592,0.26400
Bedfordshire,1.76490,0.74793,0.28913,0.24804,0.00100,0.44700,0.00700,42.91042,0.23809,"40,061.00000",0.06839,0.00200,0.05200,0.02600,0.00000,0.02149,0.00200
Cambridgeshire,1.11890,0.26751,0.16772,0.53609,0.00190,0.72135,0.00000,10.93262,0.33563,"10,604.00000",0.67638,0.00000,0.01725,1.54930,0.00000,0.13148,0.08300
Essex,10.46939,0.37773,4.95294,0.70924,0.00000,0.11900,0.00500,119.10722,142.74843,"34,466.00000",4.05519,0.00000,0.15670,3.86716,0.00000,0.12181,0.03215
Hertfordshire,7.22317,0.54592,0.32756,1.37178,0.00000,0.56200,0.00000,89.68511,2.39159,"7,206.00000",1.20776,0.00000,0.00000,0.01803,0.00000,0.00049,0.00000
Norfolk,1.58213,0.03364,0.00400,0.05266,0.00000,5.57600,0.00000,202.39021,1.11285,483.00000,0.72454,0.00000,0.00000,0.02900,0.00000,0.01362,0.00100
Suffolk,0.27562,0.03704,0.04010,0.05887,0.00300,0.20300,0.30100,3.39288,9.84302,"4,058.00000",0.07275,0.09000,0.00000,5.79331,0.00000,0.97752,0.00000
"London, City of",0.28751,0.00000,0.28630,0.00088,0.00000,0.00034,0.00000,2.40723,0.31136,1.00000,0.00588,0.00000,0.12000,0.00000,0.00000,0.01573,0.00300
Metropolitan Police,585.68116,12.01076,14.00314,62.85454,0.24136,3.91700,0.86700,"2,240.34670",595.97424,"90,663.00000",24.89775,0.00300,0.36400,10.06662,0.00309,14.59270,0.03124
Hampshire,4.45910,0.67723,1.70500,5.73998,0.05550,2.35750,0.02500,35.51738,29.21162,"12,252.00000",7.55840,0.00000,0.53300,19.04600,0.00000,0.09978,0.03900
Kent,2.75142,0.39184,0.39590,0.43744,0.01900,0.00100,0.00000,28.35486,7.73395,"7,895.00000",2.71060,0.00000,0.11500,0.13000,0.00000,0.08311,0.00000
Surrey,5.64721,0.11368,0.35471,0.25964,0.00000,1.33106,0.24600,122.41136,"1,058.35192","9,735.00000",129.27728,0.00000,1.55952,1.40950,0.04824,0.99889,0.08800
Sussex,20.71019,1.39449,3.18596,2.78260,0.18790,4.67400,2.16300,218.23994,41.26115,"27,654.00000",4.93920,0.05800,1.70325,3.55390,0.01900,7.38266,1.11300
Thames Valley,30.71423,1.69382,1.82502,101.27435,0.03600,58.24864,0.00000,101.22247,119.54158,"25,991.00000",0.83535,0.00000,228.57800,17.09879,0.21500,182.12874,0.00000
Avon and Somerset,10.84436,1.02556,0.56252,2.31736,0.33200,5.54910,0.49947,146.65703,7.64497,"23,428.00000",8.58389,0.12200,43.67382,13.08312,0.00000,4.77643,0.04900
Devon and Cornwall,4.04168,0.03486,0.28845,0.47219,0.00400,24.69292,0.12400,29.34723,3.05052,"5,515.00000",15.49074,0.00000,0.28300,17.01317,0.00000,0.07099,0.00900
Dorset,2.95857,0.34131,0.03516,1.50854,0.00000,3.68450,0.00000,21.24370,2.27695,"2,507.00000",7.45443,0.00000,1.77785,0.64007,0.00000,2.32120,0.00700
Gloucestershire,2.65552,0.63421,100.50678,0.63112,0.00000,0.05900,0.00600,11.89934,2.25616,"2,404.00000",0.66160,0.00000,3.12400,0.32900,0.00000,0.23092,0.02200
Wiltshire,0.37474,0.70319,0.67640,0.45173,0.00200,0.28900,0.00700,18.75731,2.33239,"1,833.00000",1.67650,0.00800,0.05820,0.34000,0.00000,0.02560,0.00000
British Transport Police,0.41816,0.05755,0.34624,2.40118,0.01800,0.13700,0.00000,18.42716,3.36364,450.00000,5.10479,0.02100,0.16000,0.37900,0.00600,0.68084,0.00000
Border Force,"1,519.34679",13.94040,0.30070,420.36231,0.86000,,0.12000,"13,596.93175","15,343.64129",0.00000,137.32412,,"2,459.34882",,0.00000,580.88237,
