Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
Cleveland,1.51442,0.57593,0.02541,2.13905,0.00200,3.40600,0.07500,5.48391,2.86742,940.00000,11.69204,0.00000,0.15101,1.62877,0.00000,0.07367,0.11300
Durham,1.14863,0.01345,0.39330,0.77569,0.00000,2.52500,0.84053,38.21490,5.72936,"5,927.00000",3.74656,0.00000,1.60177,4.22000,0.00000,0.06159,2.68800
Northumbria,31.46173,0.02561,0.84394,0.69702,0.00000,4.38300,0.25900,84.19521,110.48622,"10,509.00000",49.30653,0.00000,4.65090,19.13700,0.00000,0.16626,0.98750
Cheshire,0.69382,0.00873,2.39700,1.04751,2.00000,0.22600,0.00000,5.64494,8.65537,"1,831.00000",8.64326,0.00000,0.34400,0.05200,0.00000,0.00214,0.00000
Cumbria,3.77897,0.04215,15.77900,0.32245,0.00000,1.29500,0.01200,7.80507,102.62904,837.00000,1.63114,0.00000,14.28300,16.82500,0.00000,0.00470,1.43100
Greater Manchester,22.49798,1.17755,8.40992,11.79300,0.02500,1.81350,0.02400,"1,020.15231",104.97396,"67,689.00000",14.91197,0.00000,4.75545,29.18422,0.15050,1.78512,0.06102
Lancashire,7.21025,0.43741,0.34300,4.01682,0.01000,0.55100,0.00900,11.18123,5.32143,"6,777.00000",2.80798,0.00000,0.00000,17.46603,0.00000,0.01661,0.27600
Merseyside,16.03786,0.50186,165.23724,42.97032,0.00100,0.51250,0.25400,123.67816,"9,724.76242","13,288.00000",61.19170,0.00000,0.61175,97.97955,0.00000,0.07754,1.04500
Humberside,2.49866,3.89262,9.11473,15.21152,0.01100,1.80300,0.00400,30.74412,9.22520,"15,715.00000",24.62657,0.00000,1.71231,42.62686,0.00000,0.04858,0.03500
North Yorkshire,0.52597,0.05077,0.11199,0.33252,0.00000,0.18202,0.00000,17.35838,1.46845,"3,577.00000",1.94783,0.00000,0.02300,13.99300,0.07700,0.01762,0.00000
South Yorkshire,12.50405,3.79799,3.08100,13.90784,0.00000,1.27130,0.02480,156.29747,12.21740,"22,250.00000",10.60061,0.00400,3.66000,210.37100,0.00000,2.99618,0.20900
West Yorkshire,0.42578,0.16763,0.43500,0.20367,0.00000,0.76700,0.00000,195.34139,22.49243,"26,453.00000",0.13192,0.00000,0.10300,0.03200,0.00209,0.00098,0.02700
Derbyshire,43.16568,0.44509,0.46477,0.63230,0.02000,8.34600,1.00100,37.17530,4.03314,"26,552.00000",22.36427,0.00000,3.65600,14.88400,0.00060,0.36224,0.01200
Leicestershire,0.37206,0.77767,0.03727,14.10202,0.31800,1.51300,0.05700,32.04943,0.32993,"17,696.00000",0.44387,0.00000,0.64041,0.88200,0.00000,0.08681,0.01400
Lincolnshire,1.50179,0.02711,0.22768,0.56303,0.12814,0.53946,0.00000,6.24128,0.03907,102.00000,19.36071,0.00000,0.83200,0.38743,0.00000,0.12754,0.00000
Northamptonshire,1.68639,0.10181,0.03697,1.05361,0.00000,6.69500,0.45600,"1,357.59997",1.98191,"11,099.00000",0.71042,0.00000,2.66530,1.61300,0.00000,0.12056,0.02700
