Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
South Yorkshire,6.16166,0.74214,1.01000,7.47652,0.00000,2.61860,0.07900,269.91072,12.98831,"20,354.00000",21.35169,0.01200,2.32300,0.26400,0.00000,1.57060,0.26400
West Yorkshire,0.40794,0.15443,0.07700,0.21090,0.00000,0.46500,0.00000,37.48371,1.65556,"12,918.00000",0.15212,0.00000,0.19500,0.40400,0.00140,0.00000,0.00800
Derbyshire,1.20202,0.13743,0.37904,3.20210,0.01800,3.87300,1.58233,86.27606,0.47633,"16,039.00000",4.38260,0.00000,3.81188,13.61710,0.02505,0.01317,0.69900
Leicestershire,1.55338,0.62301,0.39744,5.74343,0.00000,2.44600,0.00000,24.95114,0.45351,"16,375.00000",0.62514,0.00000,1.35585,0.71600,0.00000,0.01806,0.00000
Lincolnshire,1.48541,0.07865,0.00570,0.60109,0.00200,0.02200,0.00000,6.94735,12.12565,303.00000,5.49916,0.00000,0.08700,0.01600,0.00000,0.20817,0.00000
Northamptonshire,6.89756,0.11086,1.59327,0.12713,0.00000,3.26100,0.04578,277.70876,134.18044,"15,105.00000",0.32953,0.00000,2.07200,17.63500,0.00000,0.25190,0.04300
Nottinghamshire,3.99069,1.44020,5.63600,0.33228,0.00000,1.88600,0.07900,59.58474,1.97243,"1,029.00000",10.33368,0.01800,1.96000,8.20600,0.04002,0.59325,0.00000
Staffordshire,2.05218,1.44868,0.85692,5.42544,0.00000,1.30800,0.00000,54.53456,277.00786,"16,774.00000",1.00956,0.00000,0.45820,28.59400,0.00000,0.03381,0.02000
Warwickshire,0.26065,0.10283,0.52193,1.00128,0.00000,0.31000,0.00000,7.62284,0.47348,"5,290.00000",0.02719,0.00000,0.20000,0.01100,0.00000,0.00984,0.00000
West Mercia,2.83897,0.22683,0.10290,3.52649,0.00000,3.09022,0.00845,165.63718,5.21259,"2,401.00000",16.58936,0.00000,1.31303,2.87300,1.30532,0.48680,0.05200
West Midlands,1.28790,0.45462,1.57800,0.73940,0.00000,1.44661,0.00500,111.27772,12.53988,"78,795.00000",0.11328,0.00400,51.12500,0.17500,0.00070,0.21176,0.06300
Bedfordshire,2.01395,0.80259,0.02767,0.78889,0.00000,0.61000,0.00000,22.51800,0.56872,554.00000,0.09612,0.00100,0.03200,0.02600,0.00000,0.43461,0.00000
Cambridgeshire,4.53645,0.55763,0.97626,0.88203,0.44200,0.43117,0.00000,16.90447,0.43014,"6,862.00000",1.32388,0.00000,0.09700,0.77914,0.00300,0.04263,0.04400
Essex,5.19057,0.11952,0.58138,0.16459,0.00100,0.00200,0.00000,151.02562,426.13543,"18,005.00000",1.14270,0.00000,0.03500,0.11700,0.00000,0.03618,0.00000
Hertfordshire,13.28067,0.21152,0.26776,0.75326,0.03700,1.30400,0.00000,52.94858,6.21348,"11,461.00000",0.40527,0.00000,0.00000,0.15900,0.00000,0.00000,0.00000
Norfolk,1.53624,1.32492,2.82443,6.38612,0.00300,9.09000,0.01200,828.63926,761.36405,"4,437.00000",3.21804,0.00000,0.77300,1.58500,0.00000,0.47717,0.01700
Suffolk,175.61144,0.19031,11.24050,0.26002,0.00000,0.07600,0.21800,18.49254,0.45603,"4,580.00000",0.78725,0.00000,0.19700,1.80700,0.00000,0.27614,0.00000
"London, City of",0.23537,0.00000,0.09848,0.00153,0.00000,0.00100,0.00000,2.76852,0.29842,14.00000,0.25078,0.00000,0.00085,0.82800,0.00000,0.04308,0.00000
Metropolitan Police,62.26047,12.20703,54.65542,39.17147,0.09000,3.89900,0.02501,671.13499,"1,141.33869","76,618.00000",52.20101,0.00000,0.91427,6.06166,0.08789,0.40107,0.08300
Hampshire,3.29280,0.30257,1.90229,1.98718,0.00800,1.76800,0.03000,58.63383,3.49451,"8,807.00000",5.98820,0.00000,0.50100,17.71100,0.00000,0.44408,0.07500
Kent,3.52346,0.30835,0.75615,1.26198,0.01000,0.03200,0.00000,32.07602,3.03061,"9,381.00000",4.64808,0.00000,0.18500,0.17200,0.00000,0.15379,0.00000
Surrey,2.83276,0.25269,6.64288,0.59439,0.01600,0.64306,0.00100,61.33822,1.34473,"6,934.00000",1.98899,0.00100,1.11977,3.96117,0.00000,0.07288,0.00000
Sussex,61.22506,1.09073,2.90663,5.25898,0.33900,0.93900,0.21100,147.13808,66.64623,"33,046.00000",9.17807,0.07900,1.76100,5.27670,0.00600,0.85944,0.62900
Thames Valley,17.87431,0.73443,1.14404,1.67199,0.01100,0.97391,0.00700,222.51006,211.90735,"20,770.00000",2.43245,0.04100,0.44100,5.25400,0.10000,1.09711,0.00500
Avon and Somerset,13.13654,0.98591,2.59140,8.07894,0.05000,6.22500,1.07198,149.42938,11.64669,"23,731.00000",3.11133,0.00000,2.91990,14.49345,0.00000,1.76634,0.13800
Devon and Cornwall,12.64317,0.46510,3.39063,1.00276,0.01500,16.63440,35.33817,68.75154,5.38590,"13,459.00000",128.21988,0.00000,8.02700,27.69080,0.00000,0.03319,0.03600
Dorset,1.51111,0.15694,0.61164,0.93220,0.00000,1.60200,0.25000,31.90999,3.17485,"6,020.00000",6.11436,0.00000,0.65760,5.62497,0.00000,0.10432,0.06500
Gloucestershire,18.73107,0.69283,0.29910,10.09882,0.01200,0.05800,0.00300,38.16144,2.89844,"2,572.00000",0.46573,0.00000,0.74900,0.48500,0.00000,0.28728,0.00000
Wiltshire,9.93905,0.66642,1.49759,0.34828,0.48000,2.01700,0.02500,20.10840,5.25929,"4,302.00000",13.82408,0.00000,10.12000,5.74300,0.00000,0.00960,0.00300
British Transport Police,2.29106,0.03726,3.26299,20.04819,0.00300,0.32200,0.00500,12.16004,6.07873,544.00000,0.38127,0.00000,0.08800,0.39300,0.00070,0.03824,0.00200
Border Force,"2,932.83510",4.03000,505.48276,"1,623.21607",0.50500,,0.07500,"17,702.15502","15,566.19468",0.00000,539.79996,,912.99276,,0.00000,68.35273,
