Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
Cleveland,13.22353,0.98569,0.10520,6.98078,0.00000,0.70694,0.00000,16.71090,3.75134,"5,201.00000",19.63982,0.00000,0.63100,8.28400,0.00000,0.00000,10.65600
Durham,0.50117,0.01352,0.18700,0.82357,0.85200,2.39200,0.29166,17.62271,4.36222,"5,479.00000",10.74980,0.00000,1.00300,3.71511,0.00000,0.00530,0.06900
Northumbria,8.77864,0.00472,3.47500,11.85070,0.72900,1.97800,0.03800,64.73954,51.56336,"11,539.00000",20.49240,0.00000,3.23690,40.62816,0.08570,0.03144,6.27400
Cheshire,0.42214,0.04251,8.78000,0.49242,0.00100,0.36000,0.00000,3.76427,1.07600,"2,898.00000",0.06247,0.00000,0.00000,0.98820,0.00000,0.00344,0.00000
Cumbria,2.81605,0.07352,5.91100,6.39654,0.00600,0.90300,0.00000,14.41350,50.63312,"1,594.00000",34.36565,0.00000,0.12400,19.24800,0.00000,0.00700,12.57200
Greater Manchester,8.12646,1.20148,3.54751,5.52702,0.01600,0.63800,0.24826,189.83539,222.15280,"89,011.00000",33.16599,0.00000,0.79906,17.45611,0.00000,0.09479,0.03200
Lancashire,13.35597,0.33861,0.75851,5.84750,0.05300,1.49030,0.00000,17.21207,118.70644,"13,548.00000",2.74815,0.00000,0.01900,13.08898,0.00020,0.00492,0.05800
Merseyside,26.95203,0.45517,18.52814,48.57824,0.22700,0.26261,0.00000,107.99231,249.34983,"2,380.00000",54.65184,0.00000,4.07011,0.59218,0.00002,0.00413,0.00018
Humberside,2.15979,0.32361,0.58331,2.60338,0.00000,7.80718,0.00000,40.18107,6.86724,"14,256.00000",8.57051,0.00000,0.63001,16.75722,0.00000,0.00845,3.05400
North Yorkshire,0.80972,0.06707,0.46488,0.16683,0.00000,0.55162,0.00000,49.23812,1.81494,"2,717.00000",2.63418,0.00000,0.08600,5.24300,0.00000,0.06578,0.00300
