year,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Essex,Gloucestershire,Greater Manchester,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Merseyside,Metropolitan Police,Norfolk,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
2015,15.356,19.029,16.701,20.22,34.753,30.844,21.331,20.786,22.455,16.575,25.385,18.311,15.014,26.539,16.232,12.192,26.538,19.345,33.861,19.069,20.609,33.969,23.596,21.158,14.031,18.936,25.769,23.387,28.381,20.444,18.314,9.386,17.199,13.585,15.006,20.275,31.927,27.496,14.819
2019,15.326,18.234,17.158,20.539,31.931,31.91,21.261,20.317,21.878,16.927,26.603,17.917,14.932,27.809,16.779,12.732,26.445,20.197,35.747,18.158,20.29,35.756,21.424,21.183,13.991,18.605,27.123,23.032,28.747,20.615,18.46,10.087,17.243,13.592,15.64,20.045,31.896,28.515,15.039
