year,England,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber
2015,21.916,20.791,17.408,23.605,26.765,28.216,15.474,17.65,25.538,25.529
2019,21.855,20.292,17.4,21.436,28.019,29.486,15.884,17.53,25.574,26.036
