,Cocaine,Crack,Heroin,Herbal Cannabis,Cannabis Resin,Amphetamines,Ketamine,Ecstasy,LSD,Methadone,Morphine,Cannabis Plants,Anabolic steroids
Class,A,A,A,B,B,B,B,A,A,A,A,B,C
Seizures,17038,6561,8444,95549,6583,3664,959,3147,200,407,204,8663,754
<1g,10446.91,3697.52,5108.15,17996.22,1051.58,1824.28,479.66,,,,,,
1g-500g,6314.20,2851.18,3206.37,75240.31,5358.00,1687.67,444.21,,,,,,
500g-1kg,55.95,3.07,43.06,721.21,43.58,17.85,6.00,,,,,,
1kg-10kg,151.27,9.22,68.01,1363.09,84.69,38.41,20.12,,,,,,
10kg-100kg,44.62,0.00,17.41,163.89,28.13,18.79,4.00,,,,,,
>100kg,14.05,0.00,1.00,20.28,5.02,1.00,0.00,,,,,,
Total kg,9644.55,62.66,754.34,16691.76,4625.77,668.09,155.23,,,,,,
Average kg,566.06,9.55,89.33,174.69,702.68,182.34,161.87,,,,,,
1-50 doses,,,,,,,,2436.47,184.69,288.25,159.41,7246.78,373.14
51-100 doses,,,,,,,,163.18,5.12,56.84,16.25,542.05,63.69
101-500 doses,,,,,,,,211.56,3.09,54.81,18.26,773.91,99.78
501-1000 doses,,,,,,,,41.66,1.03,3.04,2.03,67.89,25.11
1001-10000 doses,,,,,,,,38.93,3.06,4.06,3.05,31.33,47.21
10000- doses,,,,,,,,6.21,1.00,0.00,0.00,1.04,12.06
Total doses,,,,,,,,2248.85,54.07,30.30,21.83,395843.00,2693.42
Average doses,,,,,,,,714.60,270.35,..,107.02,45.69,3572.18
