Police force,All drugs,Cocaine,Crack,Ecstasy,Heroin,LSD,Methadone,Morphine,Other Class A,Total Class A,All Cannabis,Amphetamines,Barbiturates,Ketamine,"Mephedrone
(non-injection)",Other Class B,Total Class B,Anabolic-steroids,Benzodiazepines,GHB,Temazepam,Other Class C,Total Class C,Unknown
Cleveland,1853,219,42,22,155,1,14,6,5,430,1026,112,0,1,0,7,1126,14,52,0,4,86,148,363
Durham,1436,112,8,21,56,4,10,3,3,212,849,71,0,0,1,1,911,2,33,0,4,9,46,370
Northumbria,3802,520,20,122,188,4,24,11,6,859,2272,284,3,19,16,18,2545,8,167,0,9,35,210,386
 Cheshire ,1064,194,40,32,53,1,0,1,6,302,704,25,0,9,0,12,740,2,12,0,0,5,18,83
 Cumbria ,870,154,30,36,91,2,0,2,5,298,469,58,0,6,1,0,523,0,46,0,2,12,58,47
 Greater Manchester ,3948,598,112,108,334,8,2,5,8,1023,3005,141,0,19,5,6,3136,11,34,1,0,14,56,3
 Lancashire ,1167,174,63,25,101,2,0,1,0,334,821,46,0,3,1,0,862,1,10,0,1,3,15,0
 Merseyside ,550,84,26,0,53,0,2,1,29,142,434,22,0,5,0,30,460,4,7,0,0,8,16,0
 Humberside ,1187,175,108,53,170,0,6,1,5,420,664,58,0,2,8,14,732,15,82,0,3,24,113,33
 North Yorkshire ,1990,88,12,14,48,0,5,1,4,158,1140,26,0,11,0,4,1170,6,35,0,1,12,51,845
 South Yorkshire ,3797,347,190,47,198,2,27,5,40,759,2573,146,0,19,22,34,2755,23,23,0,3,56,98,501
 West Yorkshire ,4924,463,170,67,184,7,21,4,12,838,3325,131,0,8,0,14,3430,33,43,3,1,11,90,992
 Derbyshire ,2607,346,109,51,178,3,17,14,20,642,1816,139,0,7,11,98,2024,27,47,1,2,51,126,0
 Leicestershire ,1830,221,77,45,111,4,8,4,1,410,1243,56,0,1,0,27,1298,12,20,0,1,46,73,224
 Lincolnshire ,254,38,17,25,49,1,3,2,6,106,101,31,0,9,5,15,149,6,9,1,1,9,24,16
 Northamptonshire ,1536,33,18,3,17,1,7,6,2,77,977,12,0,0,0,7,991,0,12,0,1,2,14,615
 Nottinghamshire ,3596,490,69,92,122,8,6,2,5,737,2515,198,0,2,0,128,2768,17,31,0,1,8,56,455
 Staffordshire ,2527,321,101,35,188,2,3,1,4,555,1888,73,0,5,15,85,2028,41,11,1,0,44,93,0
 Warwickshire ,1267,143,61,22,80,0,3,4,9,267,882,31,0,0,0,5,908,5,9,0,1,18,29,200
 West Mercia ,3195,239,159,41,192,3,44,11,34,595,2211,87,0,12,5,53,2315,40,73,0,2,73,175,447
 West Midlands ,5163,678,267,36,411,0,19,4,9,1256,3970,63,1,2,9,40,4070,6,11,1,0,37,55,0
 Bedfordshire  ,1245,152,64,16,87,0,4,0,4,281,992,7,0,6,0,15,1011,1,6,0,1,10,15,0
 Cambridgeshire ,2001,252,63,69,111,3,14,1,10,498,1460,45,0,20,0,19,1530,6,19,0,1,34,60,0
 Essex ,3127,490,161,54,259,1,3,2,3,783,2386,70,0,13,0,1,2452,1,4,1,0,7,13,0
 Hertfordshire ,3059,432,6,29,134,0,0,0,4,566,2354,43,0,0,0,1,2389,0,2,0,0,0,2,217
 Norfolk ,1526,176,43,31,154,3,12,1,5,378,1120,67,0,14,1,9,1191,6,19,0,0,16,40,0
 Suffolk ,2272,9,30,1,30,0,0,0,1,70,1261,9,0,0,0,2,1272,0,1,0,0,2,3,938
" London, City of ",317,114,0,9,5,0,1,0,0,126,192,3,0,1,0,0,195,0,1,0,0,1,2,11
 Metropolitan Police ,33560,2970,1688,438,1527,20,62,6,96,5991,28221,429,1,62,22,45,28627,4,48,11,2,106,168,465
 Hampshire  ,3241,249,93,68,115,3,8,5,50,555,2738,0,0,11,0,25,2768,8,22,2,0,5,36,2
 Kent ,3403,303,108,51,171,4,5,3,11,592,2467,105,0,5,1,0,2540,3,3,0,0,0,5,561
 Surrey ,1004,227,45,24,92,1,3,0,9,326,714,26,0,6,1,17,750,4,16,0,1,7,25,19
 Sussex ,5555,1005,371,217,382,14,23,25,61,1868,3658,111,4,38,6,103,3858,21,119,9,6,54,190,218
 Thames Valley ,917,147,91,19,157,2,2,1,14,349,538,0,0,8,0,3,548,0,12,0,0,2,14,71
 Avon and Somerset ,3783,413,332,153,410,6,9,4,24,1004,2814,88,0,50,1,43,2932,16,78,0,2,76,156,0
 Devon and Cornwall ,4360,396,155,330,362,0,94,11,19,1294,2793,147,0,27,11,9,2953,10,222,0,2,74,304,4
 Dorset ,1768,187,87,54,195,0,2,6,5,384,1262,31,1,14,1,23,1302,5,34,1,3,27,62,179
 Gloucestershire ,1381,162,117,37,146,2,6,1,15,441,925,58,0,17,10,2,995,7,31,0,1,14,51,0
 Wiltshire ,2306,172,156,39,146,3,3,13,8,532,1432,45,0,12,1,9,1499,84,18,0,0,16,118,156
 British Transport Police ,1136,127,15,44,48,2,2,0,8,216,879,35,0,21,6,9,936,1,25,4,0,11,39,5
Border Force,6672,541,5,406,67,10,,2,686,1682,3175,121,,4,24,236,3543,547,,0,,1031,1515,0
