Police force,All drugs,Cocaine,Crack,Ecstasy,Heroin,LSD,Methadone,Morphine,Other Class A,Total Class A,All Cannabis,Amphetamines,Barbiturates,Ketamine,"Mephedrone
(non-injection)",Other Class B,Total Class B,Anabolic-steroids,Benzodiazepines,GHB,Temazepam,Other Class C,Total Class C,Unknown
Cleveland,1812,220,45,21,145,1,12,8,2,423,984,107,0,2,0,29,1086,19,90,0,5,131,237,340
Durham,1660,136,18,20,46,3,6,3,6,230,872,53,0,0,0,0,918,0,35,0,2,1,38,595
Northumbria,4699,780,74,136,269,3,26,16,45,1227,2512,301,0,35,9,186,2944,19,222,0,11,70,312,586
Cheshire,3138,543,137,40,167,1,2,3,13,835,2239,63,0,19,1,73,2362,13,33,1,0,4,51,186
Cumbria,968,191,46,32,99,1,3,2,2,340,540,47,0,12,4,9,602,0,56,0,0,5,60,21
Greater Manchester,5351,699,156,130,295,3,10,7,11,1118,3659,139,0,21,3,168,3959,13,49,2,1,77,139,511
Lancashire,945,133,55,8,73,1,0,0,0,228,666,51,0,9,0,7,726,2,15,0,0,4,20,0
Merseyside,655,127,68,0,87,1,6,1,38,230,349,27,0,43,0,155,529,4,9,0,0,9,21,0
Humberside,1023,205,98,42,142,0,5,0,2,375,576,45,0,5,6,61,667,13,80,0,0,14,100,19
North Yorkshire,2145,70,49,16,79,0,5,1,14,197,1243,29,3,11,0,5,1275,10,48,0,0,22,73,890
South Yorkshire,4248,472,192,96,149,5,13,5,31,869,2777,137,4,52,4,249,3161,13,30,0,5,47,89,467
West Yorkshire,6046,689,173,112,244,8,20,6,7,1161,4373,140,0,22,0,126,4613,40,71,9,4,25,143,750
Derbyshire,2838,405,170,99,222,2,13,10,12,790,1786,117,0,15,1,346,2197,18,60,0,2,40,117,0
Leicestershire,2749,309,192,72,166,4,9,3,23,670,2017,42,0,8,0,256,2273,19,12,1,0,6,36,0
Lincolnshire,333,50,34,18,65,0,1,1,7,122,61,46,0,21,1,17,129,6,20,0,1,17,39,10
Northamptonshire,2055,252,181,15,139,3,1,4,74,585,1365,53,0,1,0,31,1426,13,8,0,0,21,42,293
Nottinghamshire,3403,516,108,90,134,4,1,0,26,781,2242,139,0,3,0,435,2764,29,18,1,0,7,54,0
Staffordshire,2557,316,167,45,263,0,4,6,6,623,1836,64,0,15,0,261,2101,12,34,1,2,39,78,0
Warwickshire,1446,115,73,9,54,0,7,6,7,227,889,12,0,1,0,6,906,11,15,0,0,8,34,465
West Mercia,3292,265,140,24,128,1,23,11,22,519,1990,54,0,8,11,44,2080,14,38,1,1,44,97,1007
West Midlands,5573,767,271,31,360,3,7,1,13,1294,4257,26,1,10,2,200,4481,4,22,0,2,30,55,0
Bedfordshire,1220,122,66,21,90,0,5,0,2,235,1012,15,0,6,0,2,1030,0,9,0,0,4,11,0
Cambridgeshire,2332,235,103,54,119,0,3,1,1,516,1658,53,0,31,0,15,1757,15,13,0,0,20,48,11
Essex,3620,450,139,48,199,0,0,0,4,684,2992,50,0,19,0,3,3040,6,22,0,1,6,35,0
Hertfordshire,3399,455,4,30,132,0,3,0,4,577,2579,46,0,0,0,1,2628,0,0,0,0,1,1,300
Norfolk,2607,233,178,69,229,4,25,14,17,602,1936,96,1,46,1,23,2037,8,55,0,2,34,89,222
Suffolk,2770,31,26,6,28,0,6,5,11,108,1628,1,0,1,0,7,1636,4,7,0,2,8,21,1021
"London, City of",321,103,1,10,2,0,1,1,1,113,189,3,0,2,0,3,195,2,1,0,0,6,9,16
Metropolitan Police,31594,2927,1728,341,1636,56,34,7,94,5852,26598,461,1,72,3,76,27044,10,76,29,2,87,202,336
Hampshire,3962,248,111,61,85,8,5,4,11,497,3527,67,0,11,0,26,3591,15,13,1,0,2,31,0
Kent,3678,328,129,49,188,5,4,3,13,643,2623,104,0,6,1,0,2714,3,3,0,0,0,5,643
Surrey,1694,387,102,54,136,2,0,0,14,563,1222,33,0,33,1,20,1277,6,23,0,2,11,36,0
Sussex,5954,1204,394,196,332,8,35,19,66,1996,4041,91,5,55,0,89,4203,28,158,12,2,48,230,242
Thames Valley,736,111,45,16,94,1,1,0,21,257,493,0,0,6,0,5,503,0,3,1,0,4,7,5
Avon & Somerset,4324,342,306,114,274,5,3,4,15,797,2382,64,0,54,0,87,2529,15,86,1,0,48,131,1264
Devon & Cornwall,4521,544,221,218,353,10,69,13,20,1239,3072,155,0,75,1,55,3279,11,259,0,0,54,318,165
Dorset,2097,233,95,61,232,4,6,3,16,497,1393,55,0,26,1,18,1451,11,47,0,0,23,77,289
Gloucestershire,1177,156,67,25,79,3,1,1,7,308,873,20,0,13,4,7,907,6,20,0,0,12,38,0
Wiltshire,1514,162,83,36,74,1,7,6,55,372,1051,0,0,6,0,21,1072,9,23,0,0,18,49,255
British Transport Police,438,80,36,38,38,1,3,0,15,166,309,18,0,18,0,21,339,1,29,4,0,4,37,21
Border Force,8937,385,5,450,108,34,,8,877,1792,5291,208,,97,5,193,5781,291,,,,1221,1481,
