year,primary,secondary,misuse
2009,10.86,80.79,21.25
2010,11.03,84.69,22.07
2011,12.5,96.7,23.7
2012,11.54,107.92,23.08
2013,12.16,113.51,22.72
2014,13.14,126.29,25.89
2015,14.87,136.53,26.06
2016,15.6,148.19,27.27
2017,13.57,147.67,25.27
2018,12.97,155.36,30.42
2019,13.1,171.81,32.07
