Police Force, Cocaine , Crack , Ecstasy , Heroin , LSD , Methadone , Morphine , Herbal Cannabis , Cannabis Resin , Cannabis Plants ,Amphetamines,Barbiturates , Anabolic steroids , Benzodiazepines , GHB , Ketamine , Temazepam 
Cleveland,5.10835,0.30084,5.72316,3.00328,0.00000,2.09000,0.13300,16.72706,15.45252,4654.00000,14.63032,0.00000,0.00397,1.53050,8.53700,0.00000,2.10200
Durham,8.01768,0.01147,0.35552,8.99523,0.01200,2.36600,0.13400,17.41084,1.06176,2773.00000,11.91683,0.00000,0.00049,0.64600,6.71135,0.00000,0.53400
Northumbria,16.37718,0.03570,8.00650,14.07060,0.00300,1.18180,0.09200,45.87612,72.93559,13756.00000,9.12963,1.32700,0.12026,0.26900,12.58300,0.00000,0.52200
Cheshire,0.12877,0.01136,0.20400,0.03098,0.00000,0.00000,0.00000,2.89435,0.52622,712.00000,0.06895,0.00000,0.00049,0.00000,0.07500,0.00000,0.00000
Cumbria,2.55092,0.08322,0.99560,2.33343,0.02300,1.10100,0.25400,44.37904,30.94250,516.00000,4.09042,0.00000,0.01133,0.15000,109.29900,0.00000,0.24800
Greater Manchester,96.66292,0.48691,21.95036,59.83282,0.01100,0.48300,0.30100,138.52507,92.61095,41569.00000,165.66752,0.00000,0.07165,51.64600,30.74825,0.01400,0.01000
Lancashire,1.27280,0.57962,1.71456,0.83556,0.12300,0.39700,0.00100,15.79761,5.92576,4975.00000,52.38195,0.00000,0.00049,0.09100,3.43600,0.00000,0.01200
Merseyside,24.17833,0.15061,0.05900,0.57811,0.00000,0.14200,0.00000,47.37402,22.52739,731.00000,34.54658,0.00000,0.00572,0.88862,2.25133,0.00070,0.00000
Humberside,2.96120,1.05114,0.78376,1.25508,0.00000,1.23147,0.00200,28.46109,0.64319,7895.00000,8.93938,0.00000,0.00137,2.27285,20.36701,0.00000,0.00100
North Yorkshire,3.63483,0.06735,0.75160,0.30121,0.00000,0.49400,0.10000,13.25402,0.28542,1950.00000,28.41862,0.00500,0.00800,0.30117,9.10500,0.00000,0.00600
South Yorkshire,16.18731,1.90926,1.56744,16.43459,0.06500,2.33010,0.82800,333.26944,5.48774,12975.00000,10.28763,0.05000,0.19420,42.39543,16.00200,0.01600,0.24100
West Yorkshire,0.27035,0.12780,0.22400,1.17564,0.00500,0.39200,0.01100,22.80853,1.43646,9625.00000,0.15590,0.00000,0.00640,34.32600,0.53800,0.00000,0.00300
Derbyshire,5.99715,0.19729,1.12328,2.17229,0.03000,0.88560,0.46506,66.82721,7.38281,4579.00000,8.35392,0.00000,0.00018,77.96731,6.07435,0.00000,0.00600
Leicestershire,1.70288,0.40147,0.13520,2.80970,0.02700,1.02700,0.04400,122.83455,1.60517,3000.00000,0.82297,0.00000,0.00700,0.43560,0.45265,0.00000,0.00200
