year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,5,13,8,1,0,0
2010,2,2,3,1,0,0
2011,2,6,3,2,0,0
2012,4,13,9,3,2,0
2013,8,19,11,3,2,0
2014,4,23,18,2,3,0
2015,11,23,10,7,6,0
2016,11,21,12,13,6,0
2017,10,17,16,11,2,0
2018,27,34,13,13,5,0
