year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,8,26,29,11,2,0
2010,2,6,16,25,7,0
2011,3,17,20,15,7,0
2012,6,33,29,22,7,0
2013,14,37,29,27,13,0
2014,8,43,52,35,13,0
2015,17,39,45,33,23,0
2016,11,32,49,49,20,0
2017,11,34,35,50,20,0
2018,30,52,41,60,27,0
