year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,0,7,12,20,31,9
2010,1,4,12,14,25,11
2011,1,8,12,19,20,11
2012,0,6,16,31,21,9
2013,0,7,20,19,29,11
2014,0,12,18,26,29,15
2015,1,9,15,24,25,13
2016,1,9,15,20,40,9
2017,1,8,25,31,44,17
2018,0,8,24,45,53,13
