year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,8,48,78,131,119,22
2010,6,38,79,116,121,21
2011,3,36,86,105,133,30
2012,6,34,89,152,161,26
2013,5,42,92,153,153,21
2014,4,37,91,184,179,22
2015,4,33,99,142,145,24
2016,5,36,85,161,147,26
2017,2,29,63,150,212,28
2018,3,33,97,173,178,34
