year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,0,14,25,29,26,5
2010,1,9,19,30,27,4
2011,2,6,23,38,35,5
2012,1,9,19,31,36,7
2013,0,8,21,35,31,7
2014,0,3,17,27,36,3
2015,1,9,20,25,36,3
2016,0,12,24,33,29,2
2017,0,6,20,26,38,4
2018,1,6,22,34,32,2
