year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,12,104,133,120,39,0
2010,8,72,134,96,44,1
2011,14,77,177,159,57,2
2012,6,54,145,145,64,0
2013,4,63,145,153,64,0
2014,3,44,130,147,69,1
2015,1,30,126,163,111,3
2016,2,30,126,171,84,0
2017,1,27,101,148,90,0
2018,2,29,106,183,97,2
