year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,2,66,74,47,13,0
2010,2,32,62,38,10,0
2011,2,27,50,26,6,1
2012,1,32,48,43,15,0
2013,2,36,63,44,24,0
2014,1,52,95,72,27,0
2015,3,57,118,101,41,0
2016,4,68,127,135,37,0
2017,4,69,158,146,55,0
2018,7,111,220,201,98,0
