year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,0,12,9,2,3,0
2010,2,8,9,3,0,0
2011,0,14,8,7,2,0
2012,3,16,23,10,3,0
2013,6,24,18,12,3,0
2014,6,25,26,21,4,0
2015,8,35,37,24,10,0
2016,4,37,38,29,14,1
2017,1,12,28,11,9,0
2018,2,19,49,33,22,0
