year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,1,9,20,23,30,7
2010,1,8,22,28,25,7
2011,1,5,23,30,21,8
2012,1,5,11,30,23,3
2013,0,15,40,32,31,12
2014,1,19,29,36,42,9
2015,0,17,24,34,40,13
2016,0,11,25,38,49,8
2017,1,15,26,46,57,11
2018,0,21,35,47,55,11
