year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,6,66,87,61,24,17
2010,11,65,82,77,49,23
2011,4,51,100,80,48,10
2012,4,49,93,81,46,11
2013,2,46,135,99,49,11
2014,5,55,125,116,60,11
2015,3,47,127,112,66,11
2016,4,56,146,117,74,9
2017,5,55,124,117,81,9
2018,4,60,135,139,75,7
