year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,3,16,32,56,92,56
2010,4,15,23,39,69,49
2011,4,11,28,43,72,49
2012,0,19,22,36,72,33
2013,0,11,31,51,91,42
2014,1,10,20,42,88,39
2015,3,13,20,36,80,45
2016,1,11,23,40,91,53
2017,1,9,26,34,103,45
2018,5,8,23,33,84,57
