year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,2,10,14,31,27,3
2010,7,15,26,31,44,9
2011,1,15,28,49,52,9
2012,1,20,33,55,54,12
2013,0,26,49,66,66,13
2014,4,22,50,70,81,13
2015,4,22,49,49,70,14
2016,2,16,25,62,64,15
2017,1,14,37,52,63,18
2018,2,21,35,66,75,21
