year,Under 20,20-29,30-39,40-49,50-69,70 and over
2009,2,11,29,26,14,1
2010,0,11,19,27,27,3
2011,2,18,33,33,18,0
2012,0,13,27,35,26,1
2013,0,15,28,40,22,2
2014,0,16,38,48,22,2
2015,0,13,29,26,32,1
2016,1,15,27,37,33,1
2017,1,13,24,46,35,1
2018,0,9,34,56,35,3
