,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedford,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,"Bournemouth, Christchurch and Poole",Bracknell Forest,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Camden,Central Bedfordshire,Cheshire East,Cheshire West and Chester,City of London,Cornwall,County Durham,Coventry,Croydon,Darlington,Derby,Doncaster,Dorset,Dudley,Ealing,East Riding of Yorkshire,Enfield,Gateshead,Greenwich,Hackney,Halton,Hammersmith and Fulham,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hillingdon,Hounslow,Isle of Wight,Isles of Scilly,Islington,Kensington and Chelsea,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Leeds,Leicester,Lewisham,Liverpool,Luton,Manchester,Medway,Merton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,Northumberland,Nottingham,Oldham,Peterborough,Plymouth,Portsmouth,Reading,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Rutland,Salford,Sandwell,Sefton,Sheffield,Shropshire,Slough,Solihull,South Gloucestershire,South Tyneside,Southampton,Southend-on-Sea,Southwark,St. Helens,Stockport,Stockton-on-Tees,Stoke-on-Trent,Sunderland,Sutton,Swindon,Tameside,Telford and Wrekin,Thurrock,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,West Berkshire,Westminster,Wigan,Wiltshire,Windsor and Maidenhead,Wirral,Wokingham,Wolverhampton,York,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,Cumbria,Lancashire,East Sussex,Hampshire,Kent,Oxfordshire,Surrey,West Sussex,Devon,Gloucestershire,Somerset,Staffordshire,Warwickshire,Worcestershire,North Yorkshire
Islington,4192,2842,11785,10344,4945,4853,6385,14956,12478,12778,12056,5599,11485,2834,5640,7885,2665,6991,11065,14666,1810,6439,9059,11359,1374,19847,35247,4825,2365,10465,7285,6925,58778,9385,4165,14266,2003,12985,2795,1345,11324,2682,1451,2785,13465,3774,39100,5312,4614,13233,,0,2167,10645,2998,15060,12869,2394,9145,5185,4518,9025,3205,8545,5678,3256,12025,2725,12385,3178,12798,28115,11599,14237,,7465,11605,4018,14365,8125,3445,3714,15089,3330,11605,9625,,10657,9055,12419,9265,11899,3865,7945,8643,15124,6505,5519,2640,11505,7885,12385,6205,13825,3205,5545,11789,17084,5454,14905,2604,12324,8305,8305,1928,2490,8578,10942,1545,9238,8636,6813,12009,4825,7945,8245,10900,6582,23662,8259,13470,5255,5622,5792,43968,8669,,10896,8259,6716,4835,7295,3533,8691,13222,8610,30141,,7952,26282,11106
Kensington and Chelsea,5185,3965,13078,9537,5998,4886,7438,14638,13198,11878,11549,5212,13078,2927,5853,7078,2398,6904,12478,16259,2387,7552,11033,12652,1546,19040,35040,6058,2278,11878,8578,8338,58271,10480,3067,15679,3358,14398,2865,2792,11551,1723,3221,2818,14878,5033,39973,4385,3655,12846,,1999,0,12238,2763,16353,14746,2368,10738,6478,4251,10318,4318,9898,5891,2716,13438,4318,13798,3476,14391,29424,10792,15650,,8878,13349,5098,13678,7738,2698,3927,16502,2198,12898,11218,,11278,10048,13532,10678,13279,1918,7858,7956,16537,5998,5638,2779,12525,9238,13798,7378,15238,2938,4618,12690,18213,5667,14098,2688,13617,9898,9118,3280,2216,9478,9613,1035,10138,7829,5329,14562,4018,9298,9658,12193,7875,25829,9787,14883,6728,5741,7687,44421,26370,,11916,8172,6929,4748,6332,3266,8604,12535,7683,29154,,8105,24421,12519
"Kingston upon Hull, City of",15987,14437,5640,23497,13740,16888,9840,12078,13380,9720,23851,18294,4920,14149,17435,15060,13800,19287,9660,7643,13165,33846,13418,14994,12732,42502,15302,11340,13980,7740,7500,3480,49414,13080,16050,1539,13080,10380,14295,13133,12488,14204,13128,14160,10320,15595,43935,16567,16316,29588,,12501,13782,0,14640,8495,12228,13950,3300,9720,15029,10380,14700,7380,21967,15340,8820,13080,9720,14949,5988,,19194,13279,,9420,8520,8760,22620,20640,15960,15149,11884,14407,8940,6789,,8640,12450,14014,5280,14841,15180,12600,18611,12790,18060,16680,13701,11319,8340,9240,10620,11700,14520,16860,7472,21319,17369,23177,14039,11317,4680,11580,13782,14113,10800,38115,13100,10680,24674,17549,14144,18240,11760,4740,11535,9857,34695,17923,13085,14290,17398,35889,49583,38972,,11438,35834,18276,16750,20231,15088,35193,20886,13830,43616,,41394,35447,6101
Kingston upon Thames,6365,4807,13303,13618,7500,6088,8520,15060,13620,12300,11371,4914,14100,4369,5855,9420,3120,8943,13500,16283,3359,9114,11815,13614,2743,21562,36842,7080,2100,11940,9180,9360,58093,11640,5110,16461,4260,14520,3855,3747,11973,3344,3851,4140,17700,6055,41595,6795,4016,12548,,2901,2982,13620,0,17015,15168,3200,11580,7500,4958,11100,6840,10860,6493,1670,15480,4680,13740,4498,14453,30190,13378,16672,,10380,14220,6360,15540,7020,5760,5309,19324,1291,14340,12240,,12960,11310,14314,11700,14241,5282,9060,10031,16659,5820,6540,3577,12947,10200,14760,8400,16087,3120,6780,14344,20656,7469,16217,4019,15238,10560,10140,4182,2465,9900,12096,2258,10560,10351,5260,14565,4920,10020,9900,13215,9857,28656,10629,26617,7510,7138,10089,46403,27872,,12338,8174,6031,6970,9028,2068,9206,13712,10950,31556,,11420,26327,13541
Kirklees,18015,15895,4585,26042,18228,18920,13248,10008,10848,7248,45079,19242,5268,16057,19463,17605,15828,21255,7308,5409,15193,37614,12866,14442,14760,44567,14750,14808,16008,8388,9805,7128,51479,14088,17520,11225,16068,11448,16213,15051,10072,15765,15399,16128,11785,17623,46000,17995,18284,30056,,14469,15810,8388,16668,0,10153,15918,3828,12325,17146,8148,16728,4848,22195,17165,11088,12708,10548,16977,12821,34938,23299,14167,,10645,6419,10248,25165,22608,16668,17417,13409,16435,7248,7165,,6228,14627,11662,6325,14289,17148,15048,21000,14067,23028,18648,15729,9119,6948,10368,9108,13495,16548,18648,5491,43400,19397,25722,16067,9278,6697,14868,15750,15961,7968,41883,15068,7248,27219,19303,11792,18468,11748,5868,14380,12402,35663,18151,32078,15358,19291,40497,53651,42920,,9238,39782,21203,18418,19679,17416,38961,23431,16135,45681,,41502,36708,8429
Knowsley,17741,14991,10214,24211,16214,17442,10087,8065,6265,5827,39626,20161,9794,13683,17989,16207,15254,18202,7034,9695,13899,,8780,10369,13826,44281,43197,12127,14474,12355,12127,11414,49880,11587,15199,17476,15614,15055,15241,14213,4429,15191,14405,12055,16915,16749,41274,15547,17590,30573,,13475,14936,12074,15494,11010,0,14744,7754,14174,16183,3295,17054,4754,20882,15631,14695,10375,14215,15912,16487,34249,20341,17774,,12494,6705,14174,23334,20714,16867,16543,18539,14961,5894,11714,,5294,12016,6089,9314,11188,15734,12367,19758,17674,19674,17894,15291,2166,6134,13975,8467,17102,16274,18007,6526,18226,17923,23891,14953,7516,9914,11527,14696,15139,4687,42714,13894,4267,25388,18103,6340,19387,8767,9794,16229,14251,34974,16838,36198,18444,17978,55657,48917,40151,,5608,37013,19609,17105,17357,16062,39792,21600,14977,45831,,38733,33628,12190
Lambeth,5432,4602,13152,13046,6328,4860,7108,14488,13048,11728,12279,5522,12868,3917,6003,8668,2255,7153,12328,16049,3237,7882,11063,12502,1907,20690,35574,5728,2526,11908,8652,8368,35945,10150,4948,15709,3208,14428,3472,3046,11401,3072,3311,3988,14908,4827,40243,6155,5184,31658,,2287,2410,12028,2848,16203,14596,0,10528,6552,3930,10348,4648,9748,5921,2738,13468,3988,13828,3903,14181,29403,12262,15680,,8788,13199,5128,15088,8534,4048,4261,16532,3230,12748,11068,,11128,9718,13562,10708,12949,4528,8668,9426,16567,8018,6485,2389,12375,9088,13828,7348,15268,2996,5788,12540,18347,6001,15748,3184,13467,9688,8788,3610,2061,9328,11190,1848,9988,9479,5997,14412,5548,8968,9688,12343,8685,26644,9457,14913,6818,6948,7717,44755,26620,,11766,8540,8409,5078,7562,5893,9100,13945,10713,30804,,9575,25327,12549
Leeds,12747,10807,3707,20737,10500,13768,6900,6914,8640,5700,47971,13614,1080,10849,14195,12840,10560,14727,5640,3023,9685,32286,9878,12294,9492,43342,9662,8340,10740,3000,4560,1800,46714,10200,11950,7821,9900,5460,10822,9769,8404,10497,9888,10140,6360,12175,41235,12823,13196,23956,,9141,10542,3540,11400,4451,8568,10710,0,6780,12053,6420,13260,3180,13720,11837,4980,9960,4980,11709,7493,9370,16558,8209,,6420,5820,5640,20460,17400,11460,11909,7984,11167,4680,4560,,3960,9450,9994,2580,10881,12600,9600,15695,7779,14820,13140,10521,7451,5160,5280,7080,6780,11280,13620,3932,18019,14129,20460,10799,7802,660,8520,10482,10836,6960,36555,9800,6180,19531,14609,10064,12840,8700,1320,9375,6857,19095,14923,9882,10690,14158,34329,48383,38012,,7078,34874,15036,13510,16810,11848,33633,17807,10445,40916,,12607,32327,1901
Leicester,9305,7207,34440,18397,2640,9088,3360,12078,13380,9720,20731,10794,8520,7489,9995,11400,8340,11330,9720,10883,6205,7914,8914,12294,5712,24682,39002,4800,6300,10380,1680,5280,41974,6720,9240,14061,7320,12960,7342,6404,11299,7184,6291,8280,13260,8455,38835,9559,9176,48581,,5781,7062,9600,7920,12455,12722,7617,6780,0,8513,10440,5040,6900,10453,8051,11820,5100,12360,7918,9773,17170,16554,16050,,1440,9960,3300,19680,15300,10320,7949,14884,8887,9780,4800,,9180,6390,13294,3420,9640,9060,5280,13955,14919,14940,9540,7237,10427,6300,12180,5160,13620,9060,12180,10310,13759,10889,19637,6599,11159,5940,5640,6762,8249,8340,34455,6197,9000,46485,11135,13545,11700,4980,8640,5955,2421,17895,9069,7482,8110,9921,13929,46403,33692,,10811,30554,12977,10390,10288,8788,12866,50983,9402,34796,,8887,29613,9941
Lewisham,5904,5082,19131,14509,6875,4114,8795,16383,14898,13835,12887,6989,14375,4764,7210,10131,1528,9218,13775,16558,3754,8770,12930,14443,3135,21837,37939,7355,2744,12215,10611,9409,37955,11915,6229,17077,4535,14795,3070,4784,14079,4339,4706,4595,17975,6090,41597,7194,6271,15828,,4119,4113,13720,5135,18471,16726,4866,11855,8931,0,12215,5195,11135,5863,4786,15755,5789,14015,4482,14849,31032,14269,16947,,10011,14495,6635,15815,9036,5255,5044,19599,4242,14615,16731,,13009,11585,15429,13131,15356,6275,10175,11451,16934,8255,6619,3405,14136,10475,15035,8675,16362,5029,7480,14619,20754,6932,16492,4145,15513,10835,11200,4997,4000,11675,12872,3850,12335,10626,8344,15680,6995,11135,10175,14646,9488,27748,11744,27459,9225,7082,9720,45432,28207,,14053,9415,8572,5413,10564,4923,7995,13987,11050,32157,,11695,28080,13816
