,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
Nottinghamshire,7337.0,8622.0,9206.0,8113.0,10638.0,6897.0,8194.0,9046.0,5589.0,5540.0,3107.0,4958.0,2836.0,3308.0,3395.0,5633.0,0.0,5024.0,5247.0,7125.0,5558.0,7276.0,4387.0,9537.0,7519.0,7999.0,8682.0,10378.0,10263.0,12642.0,10724.0,9959.0,13176.0,9330.0,10053.0,14408.0,14732.0,8283.0,10143.0
Staffordshire,10094.0,11378.0,11963.0,4204.0,9700.0,4654.0,5416.0,5278.0,8286.0,8296.0,5084.0,6936.0,2702.0,4165.0,7343.0,5936.0,4986.0,0.0,4882.0,3721.0,2480.0,7586.0,7452.0,10724.0,8799.0,11613.0,10664.0,10772.0,10436.0,12060.0,11911.0,9767.0,12983.0,8905.0,7344.0,11698.0,13141.0,5574.0,7415.0
Warwickshire,11007.0,12291.0,12876.0,7787.0,13283.0,8237.0,8999.0,8861.0,9199.0,9209.0,5997.0,7849.0,4096.0,2827.0,6936.0,2952.0,5113.0,4842.0,0.0,5151.0,3018.0,4393.0,5383.0,7531.0,5606.0,9129.0,8181.0,6938.0,6558.0,8222.0,8309.0,5839.0,9056.0,4977.0,6276.0,10630.0,9990.0,4453.0,5098.0
West Mercia,12200.0,13485.0,14069.0,4822.0,11403.0,6357.0,7120.0,5404.0,10393.0,10403.0,7191.0,8717.0,4809.0,5658.0,9528.0,6412.0,7093.0,3796.0,5356.0,0.0,2880.0,8063.0,8343.0,11201.0,9276.0,12089.0,11141.0,11249.0,10913.0,12460.0,12387.0,10167.0,13384.0,9305.0,7744.0,12099.0,13541.0,5974.0,7815.0
West Midlands,10794.0,12079.0,12663.0,5466.0,10962.0,5915.0,6678.0,6540.0,8987.0,8997.0,5785.0,7636.0,3581.0,3604.0,7712.0,4358.0,5499.0,2521.0,3030.0,2788.0,0.0,6008.0,6289.0,9146.0,7222.0,10035.0,9087.0,8940.0,8560.0,10134.0,10310.0,7841.0,11058.0,6979.0,5418.0,9773.0,11215.0,3648.0,5489.0
Bedfordshire,13158.0,14442.0,15027.0,10692.0,16187.0,11141.0,11904.0,11765.0,11350.0,11360.0,8148.0,10000.0,6247.0,5005.0,6741.0,3228.0,7264.0,7746.0,4442.0,8085.0,6171.0,0.0,4450.0,3735.0,1574.0,6662.0,5714.0,3784.0,3448.0,5964.0,4922.0,3281.0,6497.0,2652.0,8359.0,12532.0,8928.0,7544.0,6530.0
Cambridgeshire,10301.0,11586.0,12170.0,10628.0,13602.0,9861.0,11158.0,11702.0,8099.0,8504.0,6276.0,7803.0,5846.0,3717.0,2867.0,3688.0,4422.0,7539.0,5418.0,8342.0,6427.0,4381.0,0.0,6280.0,4262.0,5188.0,5425.0,7121.0,7006.0,9748.0,7466.0,7065.0,10216.0,6436.0,10680.0,15034.0,12712.0,8910.0,9137.0
Essex,15475.0,16759.0,17344.0,13846.0,18776.0,14295.0,15058.0,14920.0,13273.0,13677.0,11303.0,13154.0,9401.0,8160.0,8596.0,6382.0,9596.0,10901.0,7597.0,11240.0,9325.0,4160.0,6305.0,0.0,3446.0,6916.0,4638.0,3133.0,3426.0,6794.0,2759.0,4651.0,5509.0,4643.0,10350.0,13878.0,10274.0,9535.0,8521.0
Hertfordshire,13361.0,14645.0,15230.0,11850.0,16662.0,12299.0,13061.0,12923.0,11159.0,11563.0,9306.0,10863.0,7405.0,6163.0,6482.0,4386.0,7482.0,8904.0,5600.0,9243.0,7329.0,1674.0,4191.0,3284.0,0.0,6195.0,5246.0,3671.0,3419.0,6289.0,4471.0,3606.0,6823.0,2977.0,8684.0,12858.0,9253.0,7870.0,6855.0
Norfolk,13949.0,15234.0,15818.0,14733.0,17250.0,13509.0,14806.0,15658.0,10580.0,12152.0,9924.0,11451.0,10014.0,8165.0,4745.0,7473.0,8007.0,11788.0,9203.0,12127.0,10213.0,6783.0,5106.0,6876.0,6268.0,0.0,3643.0,7718.0,8011.0,11882.0,8063.0,9199.0,10813.0,8570.0,14277.0,18451.0,14846.0,12695.0,12388.0
Suffolk,14670.0,15954.0,16539.0,13827.0,17971.0,14276.0,15039.0,14900.0,12468.0,12872.0,10645.0,12171.0,9385.0,8037.0,6947.0,6567.0,8791.0,10881.0,8296.0,11220.0,9306.0,5877.0,5500.0,4687.0,5361.0,3688.0,0.0,6811.0,7105.0,10413.0,6378.0,8270.0,9128.0,7663.0,13371.0,17497.0,13893.0,11789.0,11481.0
City of London,15926.0,17211.0,17795.0,13879.0,19374.0,14328.0,15091.0,14952.0,13724.0,14129.0,11498.0,13350.0,9597.0,8355.0,9047.0,6578.0,10047.0,10933.0,7116.0,11242.0,9109.0,4355.0,6756.0,2864.0,3973.0,7367.0,6419.0,0.0,891.0,6408.0,3766.0,3944.0,6686.0,3308.0,9015.0,13082.0,9477.0,8618.0,7186.0
Metropolitan Police,15986.0,17271.0,17855.0,13238.0,18734.0,13688.0,14450.0,14312.0,14039.0,14189.0,10976.0,12828.0,9075.0,7833.0,9362.0,6056.0,10092.0,10293.0,6476.0,10602.0,8469.0,3834.0,7071.0,3471.0,3528.0,7974.0,7026.0,812.0,0.0,5658.0,3958.0,3232.0,6084.0,2596.0,8304.0,12370.0,8766.0,7978.0,6474.0
