name,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
Metropolitan Police,266.43,287.85,297.58,220.63,312.23,228.13,240.83,238.53,233.98,236.48,182.93,213.8,151.25,130.55,156.03,100.93,168.2,171.55,107.93,176.7,141.15,63.9,117.85,57.85,58.8,132.9,117.1,13.53,0.0,94.3,65.97,53.87,101.4,43.27,138.4,206.17,146.1,132.97,107.9
Hampshire,307.02,328.43,338.17,244.58,336.17,252.07,264.78,262.48,276.9,277.07,223.53,254.38,191.83,171.15,200.08,141.53,208.78,195.5,131.88,209.03,171.37,104.48,161.9,115.52,105.05,197.02,174.57,106.98,95.13,0.0,101.57,57.08,73.63,76.32,124.98,165.17,82.12,125.98,94.5
Kent,277.43,298.83,308.58,249.53,332.45,257.02,269.72,267.42,240.73,247.47,207.88,238.75,176.2,155.5,162.78,125.88,179.45,200.43,136.82,205.58,170.03,88.83,124.6,46.85,76.93,134.78,105.9,60.12,66.17,99.42,0.0,63.7,78.0,71.37,160.23,217.48,157.42,161.85,129.75
Surrey,261.42,282.83,292.57,208.87,300.45,216.35,229.07,226.75,231.3,231.47,177.93,208.78,146.23,125.55,154.48,95.92,163.18,159.77,96.17,164.92,129.37,58.88,116.28,78.13,59.45,151.42,135.62,66.07,54.18,56.78,64.18,0.0,76.63,30.72,115.98,173.88,113.8,116.98,85.5
Sussex,313.13,334.53,344.28,260.57,352.17,268.07,280.77,278.47,283.0,283.17,229.63,260.5,197.93,177.25,206.18,147.63,214.88,211.48,147.87,216.63,181.08,110.58,168.0,91.13,111.15,179.07,150.18,104.5,99.72,70.95,77.18,74.75,0.0,82.42,171.28,226.92,143.87,172.9,140.8
Thames Valley,251.95,273.35,283.1,193.05,284.65,200.55,213.25,210.95,221.82,221.98,168.45,199.32,136.75,116.07,145.0,86.45,153.7,143.97,80.35,149.12,113.57,49.4,106.82,75.87,49.97,141.95,126.13,56.4,44.52,75.1,71.53,30.38,83.98,0.0,101.33,175.63,115.57,102.33,70.85
Avon and Somerset,256.18,277.6,287.33,172.47,264.05,179.95,192.67,190.35,226.07,226.23,172.7,203.55,140.05,133.87,202.35,143.35,167.93,123.37,104.8,127.83,90.17,144.13,178.62,170.6,144.7,236.67,220.87,151.13,139.25,124.47,161.83,116.05,174.28,102.02,0.0,97.83,110.02,48.82,47.63
Devon and Cornwall,327.53,348.93,358.68,243.8,335.4,251.3,264.0,261.7,297.4,297.57,244.03,274.88,211.4,205.22,273.7,217.78,239.27,194.72,176.13,199.17,161.52,208.48,249.97,232.98,209.05,301.02,285.22,215.67,203.78,164.35,219.02,173.93,228.98,175.27,96.98,0.0,88.27,120.17,125.17
Dorset,339.07,360.47,370.22,267.65,359.23,275.13,287.85,285.55,308.93,309.1,255.57,286.43,223.88,203.18,243.13,177.25,240.83,218.57,160.2,223.02,185.35,147.53,204.93,172.02,148.1,240.07,224.27,154.72,142.83,80.95,158.07,112.97,145.57,114.3,108.98,87.33,0.0,144.0,117.63
Gloucestershire,225.55,246.97,256.7,141.83,233.43,149.33,162.03,159.73,195.43,195.6,142.07,172.92,109.43,103.25,171.73,115.82,137.3,92.75,75.27,97.2,59.55,130.83,148.0,157.3,131.4,210.43,194.63,141.58,135.25,125.47,162.82,117.03,175.27,103.02,45.37,117.95,141.98,0.0,48.03
Wiltshire,258.62,280.03,289.77,174.9,266.48,182.38,195.1,192.78,228.5,228.67,175.13,205.98,142.48,127.88,188.12,104.52,165.97,125.8,84.32,130.27,92.6,112.38,149.93,138.85,112.95,206.12,190.32,119.37,107.5,92.72,130.08,84.3,142.53,70.27,47.28,126.12,117.57,47.22,0.0
