,Cleveland,Durham,Northumbria,Cheshire,Cumbria,Greater Manchester,Lancashire,Merseyside,Humberside,North Yorkshire,South Yorkshire,West Yorkshire,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Staffordshire,Warwickshire,West Mercia,West Midlands,Bedfordshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,City of London,Metropolitan Police,Hampshire,Kent,Surrey,Sussex,Thames Valley,Avon and Somerset,Devon and Cornwall,Dorset,Gloucestershire,Wiltshire
Hampshire,20700.0,41402.0,21780.0,16080.0,,16380.0,18398.0,16920.0,37330.0,19481.0,16980.0,16320.0,18315.0,13380.0,35175.0,16363.0,15360.0,13140.0,10927.0,17661.0,11340.0,30906.0,11040.0,12403.0,30489.0,51803.0,35972.0,7603.0,7958.0,0.0,11470.0,5308.0,5495.0,5280.0,7860.0,16320.0,55213.0,10865.0,7140.0
Kent,16099.0,39112.0,16910.0,13670.0,,13430.0,16108.0,13850.0,33300.0,16591.0,14646.0,13610.0,19092.0,10130.0,31505.0,13713.0,12350.0,10670.0,13197.0,16991.0,11030.0,10573.0,8210.0,8620.0,11279.0,47502.0,31942.0,5078.0,4468.0,12410.0,0.0,7998.0,9685.0,7790.0,13010.0,18590.0,40044.0,13915.0,9410.0
Surrey,15827.0,37969.0,14867.0,11327.0,,11207.0,13705.0,11867.0,31497.0,13888.0,12587.0,11927.0,13922.0,8207.0,30962.0,11396.0,10727.0,8747.0,11347.0,15008.0,8447.0,9041.0,6707.0,7759.0,29216.0,46330.0,28879.0,3090.0,2845.0,6047.0,6897.0,0.0,6202.0,3887.0,9287.0,15887.0,55980.0,10877.0,6347.0
Sussex,17684.0,39226.0,18044.0,13904.0,,13844.0,16342.0,14264.0,33414.0,17005.0,18044.0,14024.0,19019.0,10064.0,30659.0,14127.0,12284.0,10784.0,13611.0,17405.0,11444.0,11378.0,9464.0,10347.0,12413.0,49447.0,32056.0,5612.0,5062.0,5684.0,9354.0,7572.0,0.0,8204.0,13244.0,18824.0,33260.0,13849.0,9824.0
Thames Valley,15900.0,37862.0,14940.0,11580.0,,11340.0,13931.0,12480.0,32110.0,13961.0,12540.0,12000.0,12675.0,8160.0,29895.0,11587.0,10800.0,8880.0,5467.0,11541.0,5640.0,8574.0,6780.0,8338.0,28149.0,46763.0,28772.0,3768.0,3437.0,6600.0,8290.0,5008.0,8735.0,0.0,4080.0,10260.0,55213.0,5202.0,1920.0
Avon and Somerset,18000.0,42482.0,18480.0,10380.0,,11400.0,12731.0,11280.0,37426.0,16481.0,11340.0,12600.0,11475.0,9900.0,25995.0,13483.0,11340.0,9360.0,9667.0,11961.0,4860.0,13794.0,11280.0,13063.0,33849.0,51083.0,33512.0,7848.0,7877.0,7980.0,12610.0,9028.0,12575.0,4140.0,0.0,9180.0,11854.0,3630.0,2340.0
Devon and Cornwall,26160.0,52082.0,24720.0,22080.0,,19620.0,24518.0,20940.0,47650.0,23741.0,20296.0,20100.0,19035.0,17400.0,27975.0,21163.0,18840.0,17040.0,44874.0,18381.0,12540.0,40266.0,18660.0,19483.0,42309.0,48383.0,41972.0,13423.0,13637.0,14400.0,17170.0,15508.0,17855.0,9780.0,7080.0,0.0,15454.0,11310.0,9720.0
Dorset,39568.0,50850.0,28261.0,22168.0,,22408.0,24938.0,22948.0,52238.0,48909.0,22588.0,24708.0,48343.0,17728.0,52963.0,23351.0,22528.0,19948.0,51215.0,23109.0,16648.0,49174.0,16828.0,18026.0,51217.0,52251.0,50880.0,15652.0,15527.0,11829.0,17378.0,13237.0,18884.0,9868.0,11274.0,18988.0,0.0,15113.0,11688.0
Gloucestershire,17909.0,43910.0,18389.0,10289.0,,11309.0,12640.0,11189.0,35001.0,16390.0,11249.0,12509.0,11384.0,9809.0,35726.0,13392.0,11249.0,9269.0,11076.0,11910.0,4769.0,,13368.0,12691.0,33980.0,54311.0,36703.0,9216.0,8705.0,12588.0,14038.0,9556.0,14003.0,5028.0,3348.0,11328.0,37905.0,0.0,3048.0
Wiltshire,16920.0,39602.0,16680.0,12540.0,,12900.0,14978.0,13920.0,33730.0,16181.0,14580.0,14220.0,14475.0,10620.0,33135.0,12583.0,12900.0,10980.0,7267.0,12561.0,8220.0,11394.0,8100.0,10183.0,31389.0,48623.0,31052.0,5988.0,5477.0,8100.0,10390.0,5128.0,10775.0,1740.0,2280.0,9840.0,57133.0,3102.0,0.0
