Fiscal year,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedfordshire,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,Bornemouth and Poole ,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Cambridgeshire,Camden,Cheshire,City of London and Hackney,Cornwall and Isles of Scilly,County Durham,Coventry,Croydon,Cumbria,Darlington,Derby,Derbyshire,Devon,Doncaster,Dorset,Dudley,Ealing,East Berkshire,East Riding of Yorkshire,East Sussex,Enfield,Essex,Gateshead,Gloucestershire,Greenwich,Halton and St. Helens,Hammersmith and Fulham,Hampshire,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hertfordshire,Hillingdon,Hounslow,Isle of Wight,Islington,Kensington and Chelsea,Kent,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Lancashire,Leeds,Leicester,Leicestershire and Rutland,Lewisham,Lincolnshire,Liverpool,Luton,Manchester,Medway,Merton and Sutton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,Norfolk,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,North Yorkshire and York,Northamptonshire,Northumberland,Nottingham,Nottinghamshire,Oldham,Oxfordshire,Peterborough,Plymouth,Portsmouth,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Salford,Sandwell,Sefton,Sheffield,Shropshire,Solihull,Somerset,South Gloucestershire,South Tyneside,Southampton,Southwark,Staffordshire,Stockport,Stockton-on-Tees,Stoke-on-Trent,Suffolk,Sunderland,Surrey,Swindon,Tameside and Glossop,Telford and Wrekin,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,Warwickshire,West Berkshire,West Sussex,Westminster,Wigan,Wiltshire,Wirral,Wolverhampton,Worcestershire
2014,7,6,19,,6,41,11,33,39,28,20,11,9,,7,36,21,29,20,4,11,12,20,12,11,11,22,17,25,13,11,17,8,14,9,11,,12,21,6,7,6,5,35,22,13,13,15,7,33,6,15,5,6,7,25,9,12,12,26,7,11,39,32,19,10,15,,26,8,53,15,13,10,14,16,4,3,18,11,16,12,5,7,9,,6,34,19,16,4,6,7,27,7,9,11,28,8,32,9,17,11,3,9,13,2,12,9,18,7,17,10,34,8,15,10,,23,5,29,16,10,18,8,6,18,14,5,,8,10,17,3,12,11,8
2015,8,12,22,,7,49,11,32,52,24,23,16,17,,10,42,23,27,17,10,12,14,17,9,10,17,14,21,22,22,14,11,17,16,9,8,,9,19,11,11,11,9,48,33,11,12,11,6,27,7,10,7,8,6,27,11,13,10,27,6,16,40,24,20,14,23,,20,13,58,20,25,13,20,17,11,9,16,16,23,13,,13,13,,9,32,15,24,5,17,7,17,10,10,7,21,17,39,10,24,6,2,,10,4,7,16,18,10,28,7,49,8,9,11,6,28,,21,11,14,21,9,12,16,23,6,,8,14,14,4,15,11,9
2016,13,14,22,,,16,13,49,36,13,18,13,16,10,12,19,26,34,15,8,7,13,15,14,14,21,11,16,19,29,16,12,19,8,18,8,,18,23,10,,17,13,23,44,14,10,11,6,26,3,15,9,9,6,14,8,18,10,42,5,13,40,24,21,14,31,,17,12,70,35,21,10,14,24,12,14,14,10,23,20,11,20,16,,19,36,17,20,8,9,6,11,9,19,9,28,12,10,17,31,4,,9,11,6,17,22,20,14,27,22,51,9,23,9,7,24,,14,15,6,18,15,10,14,23,10,10,9,17,25,5,15,16,5
2017,25,11,17,3,18,30,10,43,44,14,17,7,11,7,17,34,14,6,19,6,3,12,12,15,20,8,11,21,28,18,11,13,8,11,16,10,,16,6,10,,22,10,46,29,7,8,9,7,34,13,7,10,8,8,9,6,10,6,51,6,16,34,26,23,10,24,,28,9,54,25,15,6,6,30,9,16,14,12,8,9,10,21,12,,14,43,10,7,7,5,8,10,19,15,5,7,7,16,9,21,5,6,11,9,5,22,21,18,17,10,18,30,9,22,4,7,7,5,19,15,5,13,13,22,9,22,6,7,7,14,30,6,13,5,4
2018,2,7,12,6,17,33,11,33,61,13,16,15,13,7,19,24,12,11,20,4,5,10,11,11,20,13,13,17,13,19,15,9,18,7,13,5,,18,11,9,,20,8,33,30,8,9,7,10,33,2,10,14,8,9,13,3,10,4,32,7,12,40,17,20,12,26,,17,9,34,27,10,6,6,30,3,17,13,10,5,13,13,20,9,6,22,41,12,8,6,6,7,6,3,12,5,5,6,19,20,31,4,6,11,13,12,21,18,19,13,7,20,37,7,30,6,7,7,7,18,15,5,16,12,2,8,19,8,3,6,13,34,9,13,15,7
2019,16,5,17,11,20,13,13,31,30,15,17,17,15,9,20,14,5,7,21,7,8,13,9,14,21,17,7,11,31,14,13,6,17,11,4,5,8,12,5,3,9,12,7,18,23,7,10,6,10,30,13,5,10,8,8,15,6,10,4,40,6,12,25,23,18,11,21,9,15,9,42,36,12,2,8,30,8,21,13,9,5,9,11,25,11,7,25,18,9,8,6,5,7,13,11,22,7,11,12,16,13,35,5,10,9,15,9,26,19,15,18,10,30,68,7,34,7,21,10,12,8,18,10,19,4,16,13,16,11,5,7,12,29,8,13,24,8
